id,name,protein,dietary_fiber,sugar,category_id
86,＜畜肉類＞　うし　［輸入牛肉］　かた　赤肉　生,20.4,0,0.1,1
87,＜畜肉類＞　うし　［輸入牛肉］　かた　脂身　生,7.1,0,0,1
88,＜畜肉類＞　うし　［輸入牛肉］　かたロース　脂身つき　生,17.9,0,0.1,1
89,＜畜肉類＞　うし　［輸入牛肉］　かたロース　皮下脂肪なし　生,18.0,0,0.1,1
90,＜畜肉類＞　うし　［輸入牛肉］　かたロース　赤肉　生,19.7,0,0.1,1
91,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　生,20.1,0,0.4,1
92,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　ゆで,25.8,0,0.1,1
93,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　焼き,25.0,0,0.3,1
94,＜畜肉類＞　うし　［輸入牛肉］　リブロース　皮下脂肪なし　生,20.3,0,0.4,1
95,＜畜肉類＞　うし　［輸入牛肉］　リブロース　赤肉　生,21.7,0,0.4,1
96,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身　生,5.7,0,0.1,1
97,＜畜肉類＞　うし　［輸入牛肉］　サーロイン　脂身つき　生,17.4,0,0.4,1
98,＜畜肉類＞　うし　［輸入牛肉］　サーロイン　皮下脂肪なし　生,19.1,0,0.4,1
99,＜畜肉類＞　うし　［輸入牛肉］　サーロイン　赤肉　生,22.0,0,0.5,1
100,＜畜肉類＞　うし　［輸入牛肉］　ばら　脂身つき　生,14.4,0,0.2,1
101,＜畜肉類＞　うし　［輸入牛肉］　もも　脂身つき　生,19.6,0,0.4,1
102,＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　生,20.0,0,0.4,1
103,＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　ゆで,30.0,0,0.2,1
104,＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　焼き,28.0,0,0.4,1
105,＜畜肉類＞　うし　［輸入牛肉］　もも　赤肉　生,21.2,0,0.4,1
106,＜畜肉類＞　うし　［輸入牛肉］　もも　脂身　生,6.3,0,0.2,1
107,＜畜肉類＞　うし　［輸入牛肉］　そともも　脂身つき　生,18.7,0,0.3,1
108,＜畜肉類＞　うし　［輸入牛肉］　そともも　皮下脂肪なし　生,19.3,0,0.3,1
109,＜畜肉類＞　うし　［輸入牛肉］　そともも　赤肉　生,21.2,0,0.3,1
110,＜畜肉類＞　うし　［輸入牛肉］　ランプ　脂身つき　生,18.4,0,0.4,1
111,＜畜肉類＞　うし　［輸入牛肉］　ランプ　皮下脂肪なし　生,19.7,0,0.5,1
112,＜畜肉類＞　うし　［輸入牛肉］　ランプ　赤肉　生,21.6,0,0.5,1
